name,avgpoint,avg_price,num_reviews
Ngọc Diệp - Bánh Mì Sốt Vang & Tào Phớ,9.8,29000.0,11
Gà 36 - Nguyễn Tuân,6.4,135000.0,10
Bánh Su Kem Singapore Chewy Junior - Xã Đàn,7.2,132500.0,160
Phương Hoa - Bún Thái Hải Sản Tươi Sống & Cơm Văn Phòng - Tập Thể Thành Công,7.3,125000.0,59
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,9.1,350000.0,86
Bánh Mì Nguyên Sinh - Lý Quốc Sư,4.4,24000.0,44
Bún Bò Huế O Xuân - Tuệ Tĩnh,6.8,50000.0,30
Cộng Cà Phê - Lý Thường Kiệt,7.4,50000.0,25
Highlands Coffee - Cột Cờ,7.4,37000.0,114
Cà Te Quán - Bò Nhúng Me,7.2,250000.0,61
ZPizza - Xuân Diệu,7.8,122500.0,46
Seoul Soul - Gà Rán Hàn Quốc,3.1,125000.0,75
Bánh Gối Oanh Oanh - Đê La Thành,7.1,17000.0,23
Bún Cá Quả Trộn Thái Bình,7.9,40000.0,16
BBQ Chicken - Giảng Võ,6.9,85000.0,20
Lẩu Đức Trọc - Phó Đức Chính,6.8,89500.0,45
Lão Ngư Chả Cá,7.4,80000.0,70
Mai Châu - Ẩm Thực Hòa Bình,7.5,160000.0,13
Vân Nhi - Food & Dessert - Lý Thường Kiệt,7.5,36000.0,34
Bánh Khoai & Bánh Chuối - Hàng Điếu,6.6,8000.0,15
Bún Dọc Mùng - Bát Đàn,6.8,40000.0,52
Hải Sản Cua Bay,7.7,150000.0,26
Khải Dung - Bún Sườn Mọc,5.6,40000.0,15
Phở Bò Lý Béo - Hàng Nón,7.3,35000.0,15
An Cựu - Bún Bò Huế - Đội Cấn,7.7,37500.0,15
Quán Chè Bà Lan Gia Truyền,6.8,25000.0,17
Cốm - Xuân Thủy,7.4,17500.0,10
Cháo Ếch Singapore - Láng Hạ,6.9,55000.0,18
Gateaux De Mia - Tiệm Bánh Mia - Shop Online,7.5,300000.0,55
Aaron9 - Grill & Smoked Turkey - Đào Duy Từ,8.7,164000.0,16
Cộng Cà Phê - Hàng Điếu,7.1,35000.0,21
Hạnh - Hải Sản Tươi Sống,3.7,75000.0,10
Phở Cường - Hàng Muối,6.6,29000.0,33
